Route_Name,Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability
Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,Kritika Tour & Travels,,07:35,4h 5m,11:40,4.5,₹400,0
Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,Ram Dalal Holidays Pvt Ltd,,21:15,4h 5m,01:20,5,"₹1,789",0
Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,Ram Dalal Holidays Pvt Ltd,,22:00,4h 20m,02:20,4.8,"₹1,849",0
Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,Bedi Travels,,22:05,3h 50m,01:55,4.2,"₹1,852",0
Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,Laxmi holidays,,20:20,4h 10m,00:30,4.9,"₹1,989",0
Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,Laxmi holidays,,22:05,4h 35m,02:40,4.2,"₹1,799",0
Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,Himalayan Nomad Ktc,,22:05,3h 25m,01:30,0,"₹2,115",0
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,Bedi Travels,,23:00,9h,08:00,4.7,₹807,0
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,Laxmi holidays,,23:30,8h 30m,08:00,4.5,₹929,0
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,Zingbus Plus,,22:55,8h 35m,07:30,4.5,₹865,0
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,Vacation Express,,10:15,7h 50m,18:05,3.8,₹709,0
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,Laxmi holidays,,22:30,8h 50m,07:20,4.5,₹899,0
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,Zingbus Plus,,23:30,8h 45m,08:15,4.8,₹732,0
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,Ram Dalal Holidays Pvt Ltd,,23:00,8h 40m,07:40,4.3,₹588,0
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,PAL Travel Lines,,23:25,8h 5m,07:30,4.3,"₹1,274",0
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,FlixBus,,22:00,9h 40m,07:40,4.1,₹568,0
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,Vacation Express,,23:15,8h 20m,07:35,4.3,₹728,0
Chandigarh to Hamirpur (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-hamirpur-himachal-pradesh,Laxmi holidays,,01:00,3h 30m,04:30,5,₹667,0
Chandigarh to Hamirpur (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-hamirpur-himachal-pradesh,Bedi Travels,,02:15,4h,06:15,4.8,₹570,0
Chandigarh to Hamirpur (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-hamirpur-himachal-pradesh,Kritika Tour & Travels,,14:30,4h 15m,18:45,4.5,₹450,0
Chandigarh to Hamirpur (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-hamirpur-himachal-pradesh,Ram Dalal Holidays Pvt Ltd,,02:30,3h 55m,06:25,4.6,"₹1,749",0
Chandigarh to Hamirpur (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-hamirpur-himachal-pradesh,Laxmi holidays,,02:40,3h 50m,06:30,4.3,"₹1,019",0
Chandigarh to Hamirpur (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-hamirpur-himachal-pradesh,Ram Dalal Holidays Pvt Ltd,,02:15,3h 40m,05:55,4.5,"₹1,099",0
Chandigarh to Hamirpur (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-hamirpur-himachal-pradesh,Himalayan Nomad Ktc,,01:40,3h 40m,05:20,3.2,₹981,0
Chandigarh to Hamirpur (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-hamirpur-himachal-pradesh,Northern Travels,,02:00,3h 40m,05:40,0,"₹1,000",0
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,RSRTC - 192348,,16:30,10h,02:30,3.5,"₹1,282",0
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,Himachal Pradesh Tourism Development Corporation (HPTDC) - 49524,,20:30,9h,05:30,4.5,"₹1,000",0
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,Bedi Travels,,21:30,8h,05:30,4.7,"₹1,519",0
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,PAL Travel Lines,,21:15,8h,05:15,2.9,₹509,0
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,Laxmi holidays,,22:30,8h 30m,07:00,4.5,"₹1,350",0
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,Laxmi holidays,,20:30,8h 15m,04:45,4.4,"₹1,339",0
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,Zingbus Plus,,20:30,8h 35m,05:05,4.4,"₹1,349",0
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,Vacation Express,,21:20,8h 15m,05:35,4,"₹1,166",0
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,Zingbus Plus,,21:30,8h 45m,06:15,4.6,"₹1,287",0
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,FlixBus,,21:00,8h 50m,05:50,4.4,"₹1,244",0
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Zingbus Plus,,17:20,6h 15m,23:35,4.7,₹515,0
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Zingbus Plus,,19:45,5h,00:45,4.8,₹667,0
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Zingbus Plus,,23:30,5h,04:30,4.8,₹552,0
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Orbit Aviation Pvt Ltd,,13:30,5h 25m,18:55,3.5,₹484,0
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,City Land Travels,,09:40,5h 30m,15:10,4.6,₹808,0
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Laxmi holidays,,18:30,5h 15m,23:45,4.7,₹640,0
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Zingbus Plus,,20:45,5h 40m,02:25,4.7,₹692,0
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Khurana Bus Service,,08:35,5h 5m,13:40,3.7,₹449,0
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Zingbus Plus,,22:55,5h,03:55,4.7,₹747,0
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Laxmi holidays,,17:00,5h 30m,22:30,4.6,₹640,0
Chamba (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/chamba-himachal-pradesh-to-chandigarh,HRTC - 1003,,14:30,11h 50m,02:20,4.9,₹726,0
Chamba (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/chamba-himachal-pradesh-to-chandigarh,HRTC - 1002,,15:00,12h 15m,03:15,4,₹691,0
Chamba (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/chamba-himachal-pradesh-to-chandigarh,HRTC - 1024,,16:20,11h 55m,04:15,3.6,₹746,0
Chamba (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/chamba-himachal-pradesh-to-chandigarh,HRTC - 1001,,17:15,10h 45m,04:00,3.1,₹746,0
Chamba (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/chamba-himachal-pradesh-to-chandigarh,HRTC - 1007,,19:00,10h 40m,05:40,4.2,₹691,0
Chamba (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/chamba-himachal-pradesh-to-chandigarh,HRTC - 1028,,20:15,11h,07:15,3.7,₹734,0
Ghumarwin to Chandigarh,https://www.redbus.in/bus-tickets/ghumarwin-to-chandigarh,Kritika Tour & Travels,,08:15,3h 25m,11:40,4.8,₹350,0
Ghumarwin to Chandigarh,https://www.redbus.in/bus-tickets/ghumarwin-to-chandigarh,Bedi Travels,,23:15,2h 40m,01:55,4.4,"₹1,852",0
Ghumarwin to Chandigarh,https://www.redbus.in/bus-tickets/ghumarwin-to-chandigarh,Ram Dalal Holidays Pvt Ltd,,23:00,3h 20m,02:20,4.4,"₹1,849",0
Ghumarwin to Chandigarh,https://www.redbus.in/bus-tickets/ghumarwin-to-chandigarh,Laxmi holidays,,21:30,3h,00:30,4.2,"₹1,989",0
Ghumarwin to Chandigarh,https://www.redbus.in/bus-tickets/ghumarwin-to-chandigarh,Himalayan Nomad Ktc,,23:00,2h 30m,01:30,2,"₹2,115",0
Ghumarwin to Chandigarh,https://www.redbus.in/bus-tickets/ghumarwin-to-chandigarh,JSR HOLIDAYS,,23:30,2h 15m,01:45,0,₹989,0
Chandigarh to Dharamshala (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-dharamshala,Chandigarh Transport Undertaking (CTU) - 165943,,10:45,7h,17:45,3.9,₹584,0
Chandigarh to Dharamshala (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-dharamshala,Laxmi holidays,,23:45,5h 45m,05:30,4.7,₹849,0
Chandigarh to Dharamshala (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-dharamshala,Laxmi holidays,,03:25,6h 5m,09:30,4.6,"₹1,219",0
Chandigarh to Dharamshala (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-dharamshala,Laxmi holidays,,23:50,5h 40m,05:30,4.6,₹945,0
Chandigarh to Dharamshala (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-dharamshala,Zingbus Plus,,02:10,5h 35m,07:45,4.8,"₹1,324",0
Chandigarh to Dharamshala (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-dharamshala,Zingbus Plus,,00:45,5h 5m,05:50,4.5,"₹1,099",0
Chandigarh to Dharamshala (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-dharamshala,FlixBus,,02:20,6h 5m,08:25,4.5,₹735,0
Chandigarh to Dharamshala (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-dharamshala,Laxmi holidays,,01:30,5h 55m,07:25,4.6,"₹1,199",0
Chandigarh to Dharamshala (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-dharamshala,Laxmi holidays,,02:25,5h 20m,07:45,4.7,"₹1,386",0
Chandigarh to Dharamshala (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-dharamshala,New Walia Travels,,01:20,5h 10m,06:30,5,₹998,0
Shimla to Chandigarh,https://www.redbus.in/bus-tickets/shimla-to-chandigarh,RSRTC - 192348,,16:30,4h 45m,21:15,4.5,₹595,0
Shimla to Chandigarh,https://www.redbus.in/bus-tickets/shimla-to-chandigarh,Ram Dalal Holidays Pvt Ltd,,21:30,3h,00:30,4.3,₹788,0
Shimla to Chandigarh,https://www.redbus.in/bus-tickets/shimla-to-chandigarh,Vacation Express,,11:00,3h,14:00,4.2,₹851,0
Shimla to Chandigarh,https://www.redbus.in/bus-tickets/shimla-to-chandigarh,FlixBus,,21:00,4h 25m,01:25,4.2,₹826,0
Shimla to Chandigarh,https://www.redbus.in/bus-tickets/shimla-to-chandigarh,VT Bus,,21:30,3h 15m,00:45,4,₹450,0
Shimla to Chandigarh,https://www.redbus.in/bus-tickets/shimla-to-chandigarh,City Land Travels,,20:00,2h 20m,22:20,3.7,₹844,0
Shimla to Chandigarh,https://www.redbus.in/bus-tickets/shimla-to-chandigarh,PAL Travel Lines,,21:15,3h 40m,00:55,3.3,₹509,0
Shimla to Chandigarh,https://www.redbus.in/bus-tickets/shimla-to-chandigarh,Vamika Travels,,14:00,3h 55m,17:55,2.9,₹358,0
Shimla to Chandigarh,https://www.redbus.in/bus-tickets/shimla-to-chandigarh,Zingbus Plus,,20:30,3h 15m,23:45,4.9,"₹1,360",0
Shimla to Chandigarh,https://www.redbus.in/bus-tickets/shimla-to-chandigarh,Laxmi holidays,,10:30,3h,13:30,4.5,"₹1,439",0
Delhi to Chamba (Himachal Pradesh),https://www.redbus.in/bus-tickets/delhi-to-chamba-himachal-pradesh,HRTC - 531,,17:50,16h 10m,10:00,4.2,₹900,0
Delhi to Chamba (Himachal Pradesh),https://www.redbus.in/bus-tickets/delhi-to-chamba-himachal-pradesh,HRTC - 590,,19:00,15h 15m,10:15,3.1,"₹1,116",0
Delhi to Chamba (Himachal Pradesh),https://www.redbus.in/bus-tickets/delhi-to-chamba-himachal-pradesh,HRTC - 84,,20:15,15h 15m,11:30,4.3,"₹1,704",0
Delhi to Chamba (Himachal Pradesh),https://www.redbus.in/bus-tickets/delhi-to-chamba-himachal-pradesh,HRTC - 578,,22:10,20h 25m,18:35,3.8,₹961,0
Delhi to Hamirpur (Himachal Pradesh),https://www.redbus.in/bus-tickets/delhi-to-hamirpur-himachal-pradesh,Bedi Travels,,21:30,8h 45m,06:15,4.8,₹807,0
Delhi to Hamirpur (Himachal Pradesh),https://www.redbus.in/bus-tickets/delhi-to-hamirpur-himachal-pradesh,Ram Dalal Holidays Pvt Ltd,,21:45,8h 10m,05:55,4.7,₹779,0
Delhi to Hamirpur (Himachal Pradesh),https://www.redbus.in/bus-tickets/delhi-to-hamirpur-himachal-pradesh,Ram Dalal Holidays Pvt Ltd,,21:20,8h 35m,05:55,4.6,₹809,0
Delhi to Hamirpur (Himachal Pradesh),https://www.redbus.in/bus-tickets/delhi-to-hamirpur-himachal-pradesh,Northern Travels,,21:30,8h 10m,05:40,4,₹610,0
Delhi to Hamirpur (Himachal Pradesh),https://www.redbus.in/bus-tickets/delhi-to-hamirpur-himachal-pradesh,Laxmi holidays,,20:00,8h 30m,04:30,4.4,₹933,0
Delhi to Hamirpur (Himachal Pradesh),https://www.redbus.in/bus-tickets/delhi-to-hamirpur-himachal-pradesh,Laxmi holidays,,22:00,8h 30m,06:30,4.2,₹859,0
Delhi to Hamirpur (Himachal Pradesh),https://www.redbus.in/bus-tickets/delhi-to-hamirpur-himachal-pradesh,Himalayan Nomad Ktc,,21:00,8h 20m,05:20,4.2,₹792,0
Delhi to Hamirpur (Himachal Pradesh),https://www.redbus.in/bus-tickets/delhi-to-hamirpur-himachal-pradesh,Himalayan Nomad Ktc,,20:45,8h 20m,05:05,4.2,₹918,0
Hamirpur (Himachal Pradesh) to Delhi,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-delhi,Bedi Travels,,22:05,8h 25m,06:30,4.8,"₹1,852",0
Hamirpur (Himachal Pradesh) to Delhi,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-delhi,Ram Dalal Holidays Pvt Ltd,,21:15,8h,05:15,4.7,"₹1,789",0
Hamirpur (Himachal Pradesh) to Delhi,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-delhi,Ram Dalal Holidays Pvt Ltd,,22:00,8h 40m,06:40,4.5,"₹1,849",0
Hamirpur (Himachal Pradesh) to Delhi,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-delhi,Himalayan Nomad Ktc,,22:05,7h 25m,05:30,3.9,"₹2,115",0
Hamirpur (Himachal Pradesh) to Delhi,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-delhi,Laxmi holidays,,20:20,8h 10m,04:30,4.4,"₹1,989",0
Hamirpur (Himachal Pradesh) to Delhi,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-delhi,Laxmi holidays,,22:05,8h 55m,07:00,4.4,"₹1,789",0
Dharamshala (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/dharamshala-to-chandigarh,Chandigarh Transport Undertaking (CTU) - 165944,,06:20,7h,13:20,4.2,₹584,0
Dharamshala (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/dharamshala-to-chandigarh,Laxmi holidays,,18:30,5h 25m,23:55,4.4,"₹1,118",0
Dharamshala (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/dharamshala-to-chandigarh,A N Holidays,,19:30,5h 40m,01:10,3.9,"₹1,229",0
Dharamshala (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/dharamshala-to-chandigarh,Laxmi holidays,,20:30,5h 55m,02:25,4.4,"₹1,300",0
Dharamshala (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/dharamshala-to-chandigarh,A N Holidays,,20:00,5h 15m,01:15,3.6,"₹1,248",0
Dharamshala (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/dharamshala-to-chandigarh,Zingbus Plus,,18:30,5h 45m,00:15,5,"₹1,396",0
Dharamshala (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/dharamshala-to-chandigarh,FlixBus,,19:15,6h 5m,01:20,4.8,"₹1,540",0
Dharamshala (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/dharamshala-to-chandigarh,FlixBus,,20:00,6h 10m,02:10,4.7,"₹1,540",0
Dharamshala (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/dharamshala-to-chandigarh,New Himalaya Travels,,20:34,5h 41m,02:15,4.5,"₹1,349",0
Dharamshala (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/dharamshala-to-chandigarh,Zingbus Plus,,21:40,4h 55m,02:35,4.7,"₹1,749",0
Kangra to Chandigarh,https://www.redbus.in/bus-tickets/kangra-to-chandigarh,Laxmi holidays,,19:05,4h 50m,23:55,3.9,"₹1,118",0
Kangra to Chandigarh,https://www.redbus.in/bus-tickets/kangra-to-chandigarh,A N Holidays,,20:10,5h,01:10,3.2,"₹1,229",0
Kangra to Chandigarh,https://www.redbus.in/bus-tickets/kangra-to-chandigarh,A N Holidays,,20:40,4h 35m,01:15,3.6,"₹1,248",0
Kangra to Chandigarh,https://www.redbus.in/bus-tickets/kangra-to-chandigarh,PAL Travel Lines,,22:00,5h 15m,03:15,3.3,"₹1,079",0
Kangra to Chandigarh,https://www.redbus.in/bus-tickets/kangra-to-chandigarh,RAO TRAVELS INDIA PVT LTD.,,19:30,5h 30m,01:00,2.4,"₹1,120",0
Kangra to Chandigarh,https://www.redbus.in/bus-tickets/kangra-to-chandigarh,RAO TRAVELS INDIA PVT LTD.,,19:30,5h 30m,01:00,2.4,"₹1,259",0
Kangra to Chandigarh,https://www.redbus.in/bus-tickets/kangra-to-chandigarh,Zingbus Plus,,22:10,4h 25m,02:35,4.8,"₹1,749",0
Kangra to Chandigarh,https://www.redbus.in/bus-tickets/kangra-to-chandigarh,Laxmi holidays,,18:40,5h 40m,00:20,4.8,"₹1,639",0
Kangra to Chandigarh,https://www.redbus.in/bus-tickets/kangra-to-chandigarh,Laxmi holidays,,22:30,4h 50m,03:20,4.8,"₹1,969",0
Kangra to Chandigarh,https://www.redbus.in/bus-tickets/kangra-to-chandigarh,Zingbus Plus,,20:05,4h 40m,00:45,4.6,"₹1,487",0
